, MT4, MT5
動作スピード,  速い, さらに速い
インジケーター数,  30種類, 38種類
描画ツール, 31種類, 44種類
時間足, 9種類, 21種類
気配値, 2種類, 4種類
カスタムインジケーター数, 多い, 少なめ
EA（自動売買）数, 多い, 少なめ
アップデート頻度, 少なめ, 多い
