口座タイプ , マイクロ, スタンダード
レバレッジ, 1000倍, 1000倍
スプレッド, 最低1ピップ, 最低1ピップ
スワップ, 有り	, 有り
ロスカット, 20%, 20%
1lot単位, 1000通貨, 10万通貨
最大lot, 100lot/1銘柄	, 50lot/1銘柄
最低入金額, 5ドル, 5ドル
取引手数料, 無料, 無料
100%入金ボーナス, 有り（500ドル）, 有り（500ドル）
20%入金ボーナス, 有り（4500ドル）, 有り（4500ドル）
取引ボーナス, 1lot取引で約3～6ドル, 1lot取引で約3～6ドル
