銀行, 被仕向送金手数料, 中継銀行手数料, 合計
ソニー銀行, 0円, 2500円〜, 2500円〜
楽天銀行, 2450円, 2500円〜, 4950円〜
三井住友銀行, 1500円＋送金金額の0.05％（最低2500円）, 2500円〜, 5000円〜
三菱UFJ銀行, 1500円＋送金金額の0.05％（最低2500円）, 2500円〜, 5000円〜
新生銀行, 2000円, 2500円〜, 4500円〜
