銘柄, 1/23, 1/24, 1/25, 1/26, 1/27
HK50Cash, 閉鎖, 閉鎖, 閉鎖, 通常時間,	通常時間
AUS200Cash, 通常時間, 通常時間, 通常時間, 8:15に遅い開場, 通常時間
