ポジション, スワップポイント, ポジション, スワップポイント
EUR/TRY ロング(買い), 約-9748円, ショート(売り), 約2654円
USD/TRY ロング(買い), 約-7762円, ショート(売り), 約1867円
EUR/ZAR ロング(買い), 約-2919円, ショート(売り), 約918円
USD/MXN ロング(買い), 約-2010円, ショート(売り), 約383円
