シンボル, 内容
COCOA, ココア
COFFE, コーヒー
CORN, トウモロコシ
COTTO, 綿
HGCOP, ハイグレードカッパー
SBEAN, 大豆
SUGAR, 砂糖
WHEAT, 小麦
