通貨ペア, スタンダード, マイクロ, ゼロ
USD/JPY, 1.5pips 最小 1.6pips 平均, 1.5pips 最小 1.6pips 平均, 0.1pips 最小 0.1pips 平均
EUR/USD, 1.6pips 最小 1.7pips 平均, 1.6pips 最小 1.7pips 平均, 0.1pips 最小 0.1pips 平均
EUR/JPY, 2.3pips 最小 2.5pips 平均, 2.3pips 最小 2.5pips 平均, 0.1pips 最小 0.2pips 平均
GBP/JPY, 3.2pips 最小 3.6pips 平均, 3.2pips 最小 3.6pips 平均, 0.1pips 最小 1.2pips 平均
AUD/USD, 1.6pips 最小 1.8pips 平均, 1.6pips 最小 1.8pips 平均, 0.1pips 最小 0.4pips 平均
