入金方法, 手数料, 口座反映時間, 最低入金額
国内銀行送金, 無料, 30分～1時間, 10000円
クレジット・デビットカード, 無料, 即時, 500円
bitwallet, 無料, 即時, 500円
BXONE, 無料, 即時, 500円
