 ,KIWAMI極, ゼロ
レバレッジ, 1000倍, 500倍
スプレッド, 最低0.6ピップ, 最低0ピップ
スワップ, 手数料無し*, 有り
ロスカット, 20%, 20%
1lot単位, 10万通貨, 10万通貨
最大lot, 50lot/1銘柄, 50lot/1銘柄
最低入金額, 5ドル, 5ドル
取引手数料, 無料, 往復10ドル/1lot
100%入金ボーナス, 無し, 無し
20%入金ボーナス, 無し, 無し
取引ボーナス, 1lot取引で約3～6ドル, 無し
