銘柄, 3/12, 3/13~16, 3/17, 3/19
FX, 早い開場 23:05, 通常時間, 早い閉場 22:50, 早い開場 23:05
ゴールド／シルバー, 閉鎖, 00:05-22:55, 早い閉場 22:50, 閉鎖
