XMグループ会社, 取得ライセンス
Trading Point of Financial Instruments Ltd, キプロス証券取引委員会(CySEC)
XM Global Ltd, 国際金融サービス委員会(IFSC)
Financial Instruments UK Ltd, 金融行動監視機構(FCA)
Financial Instruments Pty Ltd, オーストラリア証券投資委員会(AFSL)
Trading Point MENA Ltd, ドバイ金融サービス庁(DFSA)
Tradexfin Ltd, セーシェル金融サービス庁(FSA)
