銘柄,	5/1,	5/2
ChinaHCash, 閉鎖, 通常時間
EU50Cash, 閉鎖, 通常時間
EU50-JUN23, 閉鎖, 通常時間
FRA40Cash, 閉鎖, 通常時間
FRA40-MAY23, 閉鎖, 通常時間
GER40Cash, 閉鎖, 通常時間
GER40-JUN23, 閉鎖, 通常時間
HK50Cash, 閉鎖, 通常時間
IT40Cash, 閉鎖, 通常時間
NETH25Cash, 閉鎖, 通常時間
SPAIN35cash, 閉鎖, 通常時間
SWI20Cash, 閉鎖, 通常時間
SWI20-JUN23, 閉鎖, 通常時間
UK100Cash, 閉鎖, 通常時間
UK100-JUN23, 閉鎖, 通常時間
SA40Cash, 閉鎖, 通常時間
