 , （旧）XM仮想通貨, （新）XM仮想通貨
レバレッジ, 最大5倍, 最大250倍
スワップ, 全銘柄マイナススワップ, 全銘柄スワップフリー
取引可能時間, 平日のみ, 24時間365日
