所得(純利益), 税率 , 控除額
195万円以下, 5% , 0円
195万円以上 330万円以下, 10%, 97500円
330万円以上 695万円以下, 20%, 427500円
695万円以上 900万円以下, 23%, 636000円
900万円以上、1800万円以下, 33%, 1536,000円
1800万円以上 4000万円以下, 40%, 2796,000円
4000万円以上, 45%, 4769000円
