入金, 適用ボーナス, 獲得ボーナス額, 取引資本残高
$5, 100%に対して$5, $5.00, $10.00
$500, 100%に対して$500, $500, $1000
$1000, 100%に対して$500 + 20%に対して$500, $500 + $100 = $600, $1600
$2000, 100%に対して$500 + 20%に対して$1500, $500 + $300 = $800, $2800
$5000, 100%に対して$500 + 20%に対して$4500, $500 + $900 = $1400, $6400
$10000, 100%に対して$500 + 20%に対して, $9500,	$500 + $1900 = $2400, $12400
$20000, 100%に対して$500 + 20%に対して$19500, $500 + $3900 = $4400, $24400
$23500, 100%に対して$500 + 20%に対して$22500, $500 + $4500 = $5000, $28500
$53500,	100%に対して$500 + 20%に対して$50000, $500 + $10000 = $10500, $63500
