基軸通貨, 通貨ペア
AUD（オーストラリアドル）, AUDCAD（オーストラリアドル/カナダドル）AUDNZD（オーストラリアドル/ニュージーランドドル）AUDCHF（オーストラリアドル/スイスフラン）AUDJPY（オーストラリアドル/日本円）AUDUSD（オーストラリアドル/米ドル）
CAD（カナダドル）, CADCHF（カナダドル/スイスフラン）CADJPY（カナダドル/日本円）
CHF（スイスフラン）, CHFJPY（スイスフラン/日本円）CHFSGD（スイスフラン/シンガポールドル）
EUR（ユーロ）, EURAUD（ユーロ/オーストラリアドル）EURCAD（ユーロ/カナダドル）EURCHF（ユーロ/スイスフラン）EURDKK（ユーロ/デンマーククローネ）EURGBP（ユーロ/ポンド）EURHKD（ユーロ/香港ドル）EURHUF（ユーロ/ハンガリーフォリント）EURJPY（ユーロ/日本円）EURNOK（ユーロ/ノルウェークローネ）EURNZD（ユーロ/ニュージーランドドル）EURPLN（ユーロ/ポーランドズロチ）EURRUB（ユーロ/ロシアルーブル）EURSEK（ユーロ/スウェーデンクローナ）EURSGD（ユーロ/シンガポールドル）EURTRY（ユーロ/トルコリラ）EURUSD（ユーロ/米ドル）EURZAR（ユーロ/南アフリカランド）
GBP（ボンド）, GBPAUD（ポンド/オーストラリアドル）GBPCAD（ポンド/カナダドル）GBPCHF（ポンド/スイスフラン）GBPDKK（ポンド/デンマーククローネ）GBPJPY（ポンド/日本円）GBPNOK（ポンド/ノルウェークローネ）GBPNZD（ポンド/ニュージーランドドル）GBPSEK（ポンド/スウェーデンクローナ）GBPSGD（ポンド/シンガポールドル）GBPUSD（ポンド/米ドル）
NZD（ニュージーランドドル）, NZDCAD（ニュージーランドドル/カナダドル）NZDCHF（ニュージーランドドル/スイスフラン）NZDJPY（ニュージーランドドル/日本円）NZDSGD（ニュージーランドドル/シンガポールドル）NZDUSD（ニュージーランドドル/米ドル）
SGD（シンガポールドル）, SGDJPY（シンガポールドル/日本円）
USD（米ドル）, USDCAD（米ドル/カナダドル）USDCHF（米ドル/スイスフラン）USDCNH（米ドル/中国人民元）USDDKK（米ドル/デンマーククローネ）USDHKD（米ドル/香港ドル）USDHUF（米ドル/ハンガリーフォリント）USDJPY（米ドル/日本円）USDMXN（米ドル/メキシコペソ）USDNOK（米ドル/ノルウェークローネ）USDPLN（米ドル/ポーランドズロチ）USDRUB（米ドル/ロシアルーブル）USDSEK（米ドル/スウェーデンクローナ）USDSGD（米ドル/シンガポールドル）USDTRY（米ドル/トルコリラ）USDZAR（米ドル/南アフリカランド)
